True_answer,Response
True,0
True,0
False,0
True,0
True,0
True,0
True,0
False,1
False,0
True,0
False,0
False,0
False,0
False,0
False,0
False,0
False,0
True,1
False,0
False,0
False,0
False,0
True,1
False,0
False,0
False,0
False,0
True,0
True,1
False,0
False,0
False,1
False,0
False,0
False,0
True,0
False,0
False,0
True,1
True,0
True,0
False,0
False,0
False,0
True,0
True,0
True,0
False,0
False,0
False,0
100,0
96,0
99,0
False,0
False,0
True,0
False,0
False,0
False,0
False,0
True,1
False,0
False,0
False,0
True,0
98,0
True,0
False,0
False,0
False,0
True,1
False,0
True,1
True,0
False,0
99,0
True,1
False,0
False,0
True,1
True,0
False,0
True,1
False,0
False,0
False,0
True,0
False,0
False,0
False,1
False,0
False,0
False,0
False,0
False,0
False,0
False,0
True,1
True,1
False,0
True,0
True,0
True,0
True,0
False,0
False,0
True,1
False,0
100,0
False,0
True,0
False,1
False,0
False,0
False,0
False,0
True,0
True,1
True,1
False,0
False,0
False,0
False,0
False,0
96,0
False,0
False,1
False,0
True,1
96,0
False,0
False,0
False,0
True,1
True,1
True,1
98,0
False,0
False,0
False,0
True,1
False,0
False,0
False,0
False,0
False,0
True,0
True,1
False,0
False,0
