True_answer,Response
True,1
False,0
True,1
True,1
False,0
True,1
False,0
False,0
False,0
False,0
False,0
True,1
False,0
False,0
False,0
False,0
False,0
100,0
True,0
False,0
True,1
True,1
True,1
False,0
False,0
True,1
96,0
True,1
True,1
False,0
True,1
True,1
True,1
False,0
96,0
False,0
True,1
True,1
True,0
True,1
False,0
True,1
False,0
False,0
False,0
False,0
False,0
False,0
False,0
False,0
False,0
False,0
False,0
False,0
98,0
False,0
False,1
True,0
False,0
False,0
False,1
False,0
False,1
True,1
True,1
False,0
True,0
False,0
False,0
False,0
False,0
98,0
False,1
False,0
True,1
True,1
True,1
True,1
True,1
False,0
False,0
True,1
False,0
True,1
True,1
True,1
True,1
False,0
True,1
96,0
True,1
False,1
False,1
False,1
False,0
False,0
False,0
97,0
96,0
False,0
False,1
True,1
False,0
False,0
True,1
False,0
False,0
False,0
True,1
False,0
True,1
False,1
True,1
False,0
False,0
True,1
False,0
True,1
True,0
False,0
False,0
False,0
97,0
True,1
False,1
False,1
False,0
False,1
False,0
True,1
False,0
True,1
True,0
False,1
False,0
False,0
False,0
False,0
False,0
False,0
True,1
False,0
False,1
False,0
False,0
False,1
False,0
False,0
False,0
True,1
True,1
False,0
False,1
True,1
False,0
True,1
False,0
False,0
False,0
False,0
False,0
False,0
True,1
False,0
False,1
True,1
False,0
False,0
False,0
False,0
True,1
True,0
False,1
True,1
False,0
False,0
False,0
False,0
False,0
True,0
True,1
False,0
False,0
True,1
True,1
False,0
97,0
False,1
False,0
False,0
False,0
False,1
True,1
False,0
True,1
False,0
99,0
False,1
True,1
True,1
False,0
False,0
True,1
False,1
True,1
True,1
False,0
True,0
False,0
False,0
