True_answer,Response,Image_idx
False,0,0
False,0,5
True,1,0
False,0,4
False,1,6
True,0,2
True,0,4
True,1,0
True,0,0
True,0,5
False,1,5
False,1,5
False,0,2
False,0,6
False,0,0
False,0,1
False,1,6
False,0,6
False,1,6
False,1,6
False,0,6
False,1,1
True,1,3
False,0,5
False,0,2
False,1,2
False,0,4
False,0,5
True,1,1
False,1,4
False,0,1
False,0,0
False,0,2
True,0,6
True,1,4
False,1,0
False,0,1
False,0,4
True,0,3
False,0,2
False,0,5
False,0,2
True,1,1
False,0,2
False,0,1
False,1,3
False,0,6
False,0,4
False,0,1
True,1,0
True,1,5
False,0,0
False,1,1
False,1,4
False,1,1
True,1,4
False,1,5
True,0,2
True,1,3
False,1,3
False,0,0
False,1,2
True,0,6
True,1,2
False,0,4
False,1,5
False,0,3
False,0,6
True,1,5
True,1,5
False,0,6
False,1,5
False,0,0
True,0,0
False,1,2
False,1,1
False,0,5
False,1,2
False,1,0
True,0,0
True,0,2
True,1,4
True,0,3
True,0,2
False,1,1
False,0,5
False,0,1
True,1,3
True,1,1
True,0,1
False,1,2
False,1,2
True,1,2
False,0,6
False,1,3
False,1,1
False,1,3
False,1,0
True,0,6
True,0,5
True,1,0
False,0,1
True,0,3
False,1,4
False,0,4
False,0,5
False,1,4
False,0,1
False,1,4
False,1,0
True,1,5
False,0,0
False,1,5
False,0,1
True,0,0
False,1,4
False,1,0
False,0,0
False,1,5
False,1,4
True,1,0
True,0,4
False,0,5
False,0,2
True,0,5
False,1,4
False,0,0
False,1,6
True,0,1
False,0,3
False,0,1
False,1,2
True,0,0
False,1,6
False,1,3
False,0,3
True,0,6
False,1,6
True,1,4
False,0,0
True,0,5
False,1,6
False,0,2
False,0,3
False,1,5
False,1,6
False,1,0
False,0,6
True,0,3
False,1,3
